                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.42647,                  0.572,                 0.8479,                0.85542,                0.87583,                0.89195,                0.80645,                0.34667,                0.37496,                 0.8036,             0.00014869,             0.00014869,             0.00014869
                     37,                 0.4297,                0.55568,                 0.8401,                0.82944,                0.83509,                0.88932,                 0.7959,                0.34616,                0.37569,                0.80394,             0.00013969,             0.00013969,             0.00013969
                     38,                0.42143,                0.55848,                0.84275,                0.78728,                 0.9075,                0.86278,                0.78056,                0.33474,                  0.365,                0.80152,             0.00013068,             0.00013068,             0.00013068
                     39,                0.42278,                 0.5373,                0.84516,                0.94072,                0.76023,                0.87439,                 0.7921,                0.34602,                0.35604,                0.80237,             0.00012167,             0.00012167,             0.00012167
                     40,                0.42356,                0.55265,                0.84826,                0.83879,                0.81703,                0.86801,                0.78745,                0.34026,                0.35883,                 0.8019,             0.00011266,             0.00011266,             0.00011266
                     41,                0.38855,                0.59137,                0.82219,                0.87069,                0.85369,                0.89256,                0.81805,                0.34867,                0.35959,                0.80025,             0.00010365,             0.00010365,             0.00010365
                     42,                0.39902,                0.56144,                0.81785,                0.80116,                0.87514,                0.87785,                0.79644,                0.34762,                0.35897,                0.80034,              9.464e-05,              9.464e-05,              9.464e-05
                     43,                 0.3872,                0.54935,                0.81897,                0.87233,                0.87671,                0.89658,                0.81009,                0.35058,                0.35584,                0.80178,             8.5631e-05,             8.5631e-05,             8.5631e-05
                     44,                0.38952,                0.55431,                0.82241,                0.93352,                0.87525,                0.90343,                0.82411,                0.32848,                0.34539,                0.79849,             7.6622e-05,             7.6622e-05,             7.6622e-05
                     45,                0.37368,                0.52812,                0.81516,                0.90889,                0.87325,                0.90278,                0.82666,                0.32854,                0.33738,                0.79667,             6.7613e-05,             6.7613e-05,             6.7613e-05
                     46,                0.37086,                0.51778,                0.80912,                0.88808,                0.88167,                0.90206,                0.82844,                0.32829,                 0.3324,                0.79659,             5.8604e-05,             5.8604e-05,             5.8604e-05
                     47,                0.36327,                0.50069,                0.81536,                0.85755,                0.89569,                0.89805,                0.82059,                0.31977,                  0.331,                 0.7947,             4.9595e-05,             4.9595e-05,             4.9595e-05
                     48,                0.36464,                 0.5139,                0.81344,                0.85329,                 0.8964,                0.89954,                0.82293,                0.30981,                0.32664,                0.79562,             4.0586e-05,             4.0586e-05,             4.0586e-05
                     49,                0.36037,                0.50458,                0.81719,                0.85891,                0.90175,                0.89651,                0.82434,                0.30689,                0.32409,                0.79398,             3.1577e-05,             3.1577e-05,             3.1577e-05
                     50,                0.35423,                0.49295,                0.81483,                0.87698,                0.90072,                0.89981,                 0.8291,                0.30273,                0.31849,                0.79426,             2.2568e-05,             2.2568e-05,             2.2568e-05
